version,publish_date
v2.0.0-rc0,2019-08-23 19:01:47+00:00
v1.13.2,2019-07-16 09:29:11+00:00
v1.12.3,2019-06-21 23:36:21+00:00
v1.14.0,2019-06-19 04:45:10+00:00
v2.0.0-beta1,2019-06-14 07:16:31+00:00
v1.14.0-rc1,2019-06-08 05:25:41+00:00
v2.0.0-beta0,2019-06-07 15:03:27+00:00
v1.14.0-rc0,2019-05-24 07:41:25+00:00
v1.12.2,2019-04-18 20:29:40+00:00
v2.0.0-alpha0,2019-03-06 14:24:31+00:00
v1.13.1,2019-02-25 20:44:04+00:00
v1.13.0-rc2,2019-02-15 20:16:37+00:00
v1.13.0-rc1,2019-02-07 18:52:35+00:00
v1.13.0-rc0,2019-01-23 17:55:16+00:00
v1.12.0,2018-11-05 23:30:45+00:00
v1.12.0-rc2,2018-10-26 19:06:17+00:00
v1.12.0-rc1,2018-10-17 18:45:24+00:00
v1.12.0-rc0,2018-10-10 00:28:22+00:00
v1.11.0,2018-09-27 18:03:24+00:00
v1.11.0-rc2,2018-09-21 17:26:13+00:00
v1.11.0-rc1,2018-09-17 20:02:33+00:00
v1.11.0-rc0,2018-09-12 21:54:46+00:00
v1.10.1,2018-08-24 17:05:15+00:00
v1.10.0,2018-08-08 20:25:34+00:00
v1.10.0-rc1,2018-07-30 22:45:06+00:00
v1.10.0-rc0,2018-07-23 16:44:01+00:00
v1.9.0,2018-07-10 13:15:53+00:00
v1.9.0-rc2,2018-07-02 22:46:40+00:00
v1.9.0-rc1,2018-06-14 19:58:03+00:00
v1.9.0-rc0,2018-06-07 14:59:33+00:00
v1.7.1,2018-05-04 19:58:07+00:00
v1.8.0,2018-04-27 18:32:36+00:00
v1.8.0-rc1,2018-04-19 20:36:36+00:00
v1.8.0-rc0,2018-04-13 03:55:51+00:00
v1.7.0,2018-03-29 20:29:33+00:00
v1.7.0-rc1,2018-03-21 17:26:57+00:00
v1.5.1,2018-03-20 21:35:55+00:00
v1.7.0-rc0,2018-03-13 04:03:42+00:00
v1.6.0,2018-02-28 19:10:29+00:00
v1.6.0-rc1,2018-02-14 09:20:00+00:00
v1.6.0-rc0,2018-02-05 21:13:27+00:00
v1.5.0,2018-01-26 08:30:37+00:00
v1.5.0-rc1,2018-01-13 00:58:43+00:00
v1.5.0-rc0,2018-01-04 01:36:37+00:00
v1.4.1,2017-12-08 21:59:11+00:00
v1.4.0,2017-11-02 18:29:02+00:00
v1.4.0-rc1,2017-10-23 20:46:53+00:00
v1.4.0-rc0,2017-10-11 19:16:04+00:00
v1.3.1,2017-09-26 17:55:11+00:00
v1.3.0,2017-08-17 01:30:34+00:00
v1.3.0-rc2,2017-08-04 17:21:58+00:00
v1.3.0-rc1,2017-07-27 22:03:23+00:00
v1.3.0-rc0,2017-07-19 22:55:14+00:00
v1.2.1,2017-06-30 01:35:02+00:00
v1.2.0,2017-06-15 21:23:28+00:00
v1.2.0-rc2,2017-06-06 22:56:43+00:00
v1.2.0-rc1,2017-05-27 00:49:14+00:00
v1.2.0-rc0,2017-05-20 18:17:01+00:00
v1.1.0,2017-04-26 22:25:55+00:00
v1.1.0-rc2,2017-04-14 23:25:11+00:00
v1.1.0-rc1,2017-04-04 21:30:33+00:00
v1.1.0-rc0,2017-03-25 02:05:02+00:00
v1.0.1,2017-03-08 01:01:01+00:00
v1.0.0,2017-02-15 17:46:53+00:00
v1.0.0-rc2,2017-02-09 02:39:59+00:00
v1.0.0-rc1,2017-02-04 02:29:53+00:00
v1.0.0-rc0,2017-01-26 20:47:27+00:00
v1.0.0-alpha,2017-01-10 00:59:33+00:00
0.12.1,2016-12-29 23:13:19+00:00
v0.12.0,2016-12-20 21:56:29+00:00
0.12.0-rc1,2016-12-12 18:32:00+00:00
0.12.0-rc0,2016-11-29 02:08:06+00:00
v0.11.0,2016-11-10 17:46:04+00:00
v0.11.0rc2,2016-11-01 07:59:56+00:00
v0.11.0rc1,2016-10-21 23:53:11+00:00
v0.11.0rc0,2016-09-30 17:22:05+00:00
v0.10.0,2016-09-12 20:32:00+00:00
v0.10.0rc0,2016-07-29 23:59:41+00:00
v0.9.0,2016-06-27 18:35:24+00:00
v0.9.0rc0,2016-06-06 08:06:55+00:00
v0.8.0,2016-04-30 03:49:34+00:00
v0.8.0rc0,2016-04-13 16:47:28+00:00
v0.7.1,2016-02-22 18:59:16+00:00
v0.7.0,2016-02-16 23:01:44+00:00
v0.6.0,2016-02-16 23:01:20+00:00
